,car_type,firm,area,km,cost,year of prudaction,time of ad
609,משאיות,וולוו - הייבר,מושבים בשרון,420000,לא צויין,2015,0 דקות 
610,משאיות,רנו - מאסטר גבוה,עכו - נהריה,193000,"105,000 ₪",2018,0 דקות 
611,משאיות,סקניה - 360,רמת השרון - הרצליה,150000,"100,000 ₪",2001,0 דקות 
612,משאיות,רנו - גרר,מושבים בצפון,394000,"160,000 ₪",2015,0 דקות 
613,משאיות,סקניה - 380,מושבים בדרום,139999,לא צויין,2002,0 דקות 
614,משאיות,דאף - SR 140 טון,מושבים בצפון,100000,"270,000 ₪",2007,2 ימים 
615,משאיות,רנו - מנדלום,חדרה וישובי עמק חפר,400000,"30,000 ₪",2007,0 דקות 
616,משאיות,סקניה - R440,עכו - נהריה,630000,"150,000 ₪",2014,0 דקות 
617,משאיות,איסוזו - Npr75,מושבים בצפון,350000,"90,000 ₪",2008,0 דקות 
618,משאיות,איווקו - ,יישובי השומרון,145000,"1,000 ₪",2010,0 דקות 
619,משאיות,וולוו - fh13 460,באר שבע והסביבה,470000,לא צויין,2014,23 ימים 
620,משאיות,וולוו - הייבר,מושבים בשרון,420000,לא צויין,2015,0 דקות 
621,משאיות,דאף - 250,מושבים בצפון,300000,"70,000 ₪",2010,0 דקות 
622,משאיות,שברולט - סילברדו,תל אביב,130000,"125,000 ₪",2018,0 דקות 
623,משאיות,אינטרנשיונל - ספורט/כביש,יישובי השומרון,30000,"16,000 ₪",2020,2 ימים 
624,משאיות,דאף - מוטוקרוס,באר שבע והסביבה,8000,"19,000 ₪",2001,2 ימים 
625,משאיות,איווקו - ,יישובי השומרון,145000,"1,000 ₪",2010,0 דקות 
626,משאיות,רנו - ,רמלה - לוד,320000,"115,000 ₪",2015,0 דקות 
627,משאיות,מרצדס - NEW ACTROS 2524L,נתניה והסביבה,485000,"172,000 ₪",2015,0 דקות 
628,משאיות,מיצובישי - ,גדרה יבנה והסביבה,210000,"140,000 ₪",2015,2 ימים 
629,משאיות,אינטרנשיונל - ספורט/כביש,גדרה יבנה והסביבה,5000,"21,500 ₪",2020,1 ימים 
630,משאיות,סקניה - 380,מושבים בדרום,139999,לא צויין,2002,0 דקות 
631,משאיות,פורד - דו שימושי,רמת גן - גבעתיים,7400,"52,985 ₪",2021,2 ימים 
632,משאיות,איווקו - איווקו 15 טון דבל קבינה,ירושלים והסביבה,600000,"69,000 ₪",2007,0 דקות 
633,משאיות,אינטרנשיונל - ספורט/כביש,עכו - נהריה,5600,"28,000 ₪",2020,20 שעות 
634,משאיות,איסוזו - Npr75,מושבים בצפון,350000,"90,000 ₪",2008,0 דקות 
635,משאיות,וולוו - Fh460,באר שבע והסביבה,490000,"170,000 ₪",2012,0 דקות 
636,משאיות,איסוזו - סומו 0053 אוט דיזל 3.0 (120 כ’’ס),באר שבע והסביבה,420000,"60,000 ₪",2020,2 ימים 
637,משאיות,איסוזו - ספורט/כביש,יישובי השומרון,13500,"43,000 ₪",2020,1 ימים 
638,משאיות,איסוזו - ספורט/כביש,בקעת אונו,24000,"30,000 ₪",2018,1 ימים 
639,משאיות,וולוו - ,אשדוד - אשקלון,250000,"60,000 ₪",2011,0 דקות 
640,משאיות,אינטרנשיונל - ספורט/כביש,עכו - נהריה,4600,"35,000 ₪",2021,9 ימים 
641,משאיות,דאף - מוטוקרוס,באר שבע והסביבה,8000,"19,000 ₪",2001,2 ימים 
642,משאיות,אינטרנשיונל - ספורט/כביש,יישובי השומרון,18500,"10,000 ₪",2020,15 ימים 
643,משאיות,אינטרנשיונל - ספורט/כביש,חדרה וישובי עמק חפר,25000,"25,000 ₪",2020,15 ימים 
644,משאיות,מיצובישי - חד קבינה ידני דיזל 3.0 (96 כ’ס) 3.5 טון,מושבים בדרום,253000,"60,000 ₪",2009,7 ימים 
645,משאיות,טויוטה - XZU730L תא יחיד אוטו טורבו דיזל 5.1,פתח תקוה והסביבה,260000,"65,000 ₪",2013,3 ימים 
646,משאיות,אינטרנשיונל - ספורט/כביש,נס ציונה - רחובות,19000,"28,000 ₪",2021,11 ימים 
647,משאיות,מאן - דו שימושי,אזור דרום,8607,"41,000 ₪",2018,5 ימים 
648,משאיות,איסוזו - I אוט 1.6,קריות,140000,"8,000 ₪",1990,21 ימים 
649,משאיות,פורד - דו שימושי,אשדוד - אשקלון,9000,"25,000 ₪",2016,19 ימים 
650,משאיות,אינטרנשיונל - דו שימושי,גדרה יבנה והסביבה,15000,"29,000 ₪",2020,20 ימים 
