,firm,area,km,cost,year of prudaction,tracks,commercial,private
287,148,29,94000,130000,2020,0,1,0
288,148,15,75000,105000,2019,0,1,0
291,180,4,165000,90000,2018,0,1,0
292,237,24,1000,47000,2009,0,1,0
293,58,9,122000,185000,2017,0,1,0
298,186,34,127000,22000,2011,0,1,0
301,67,15,380000,19500,2007,0,1,0
303,166,19,380000,65000,2013,0,1,0
304,188,13,220000,28000,2014,0,1,0
306,185,16,270000,20000,2008,0,1,0
307,118,16,150000,80000,2014,0,1,0
308,148,15,75000,105000,2019,0,1,0
309,128,33,270000,35000,1991,0,1,0
310,111,16,297000,130000,2017,0,1,0
311,38,26,156000,45000,2017,0,1,0
314,188,28,184000,30000,2015,0,1,0
315,112,26,207000,105000,2016,0,1,0
317,148,30,270000,37000,2016,0,1,0
318,21,19,300000,70000,2011,0,1,0
319,152,25,210000,59999,2016,0,1,0
320,22,6,349000,79900,2010,0,1,0
321,90,14,365000,28000,2009,0,1,0
323,67,7,340000,23000,2007,0,1,0
324,22,15,130000,135000,2015,0,1,0
327,40,3,149400,89000,2015,0,1,0
328,236,15,178000,114400,2018,0,1,0
329,148,4,160000,76000,2019,0,1,0
330,90,29,325000,28000,2009,0,1,0
331,59,29,341000,52000,2007,0,1,0
332,148,20,169000,39000,2016,0,1,0
333,188,18,225000,32000,2015,0,1,0
334,239,28,211,85000,2014,0,1,0
335,98,17,175000,72000,2014,0,1,0
338,15,29,85000,82000,2016,0,1,0
341,57,34,255000,20000,2001,0,1,0
342,230,16,158000,47500,2017,0,1,0
344,239,19,150000,100000,2016,0,1,0
345,148,4,108000,43000,2016,0,1,0
347,22,10,396000,55000,2008,0,1,0
348,239,9,195000,65000,2005,0,1,0
349,189,29,386000,48000,2012,0,1,0
351,236,4,210000,130000,2015,0,1,0
353,16,12,330,29000,2007,0,1,0
355,152,25,196000,62000,2016,0,1,0
356,230,22,204000,9500,2008,0,1,0
358,188,30,220000,33000,2016,0,1,0
359,102,19,400000,19000,2001,0,1,0
363,239,16,51000,150000,2018,0,1,0
364,16,12,330,29000,2007,0,1,0
365,58,30,250000,168000,2017,0,1,0
368,188,26,188000,33000,2016,0,1,0
370,60,12,340000,70000,2007,0,1,0
371,119,16,262000,8000,2002,0,1,0
372,112,29,197000,117000,2017,0,1,0
374,120,33,300000,55000,2009,0,1,0
375,67,14,240000,15000,2004,0,1,0
376,152,33,298000,4000,2005,0,1,0
377,188,13,215000,15000,2013,0,1,0
378,98,12,210000,67000,2011,0,1,0
379,166,16,395000,45000,2011,0,1,0
380,98,31,100000,59000,2008,0,1,0
382,180,3,178000,70000,2016,0,1,0
383,166,23,55000,118000,2016,0,1,0
386,176,34,170000,15000,1998,0,1,0
387,152,26,85000,159000,2019,0,1,0
388,22,19,400000,41999,2007,0,1,0
390,171,11,102000,98000,2018,0,1,0
391,57,6,370000,28000,2005,0,1,0
392,176,19,233000,28000,2006,0,1,0
396,189,17,42274,135000,2018,0,1,0
397,38,23,240000,39300,2017,0,1,0
398,22,12,227500,103000,2015,0,1,0
399,230,12,140000,17500,2009,0,1,0
400,41,21,200000,31000,2008,0,0,0
403,93,28,141000,64000,2013,0,0,0
404,114,23,128000,125900,2018,0,0,0
405,210,19,155000,60000,2015,0,0,0
406,93,18,13000,159500,2021,0,0,0
407,6,21,186000,73900,2012,0,0,0
408,6,3,123000,112000,2014,0,0,0
409,33,19,194000,47000,2012,0,0,0
410,143,24,3200,184998,2022,0,0,0
411,99,26,160000,67000,2013,0,0,0
413,53,1,160000,46000,2009,0,0,0
414,115,21,99000,47900,2014,0,0,0
416,136,23,99000,74000,2016,0,0,0
417,124,3,170000,65000,2022,0,0,0
418,99,13,95000,109000,2016,0,0,0
419,114,20,156141,110000,2017,0,0,0
420,63,34,230000,137000,2009,0,0,0
421,43,13,8400,136000,2021,0,0,0
422,123,23,350000,24900,2005,0,0,0
423,78,20,77000,138000,2022,0,0,0
424,184,30,62000,67000,2016,0,0,0
425,175,28,113000,100000,2017,0,0,0
426,124,13,123000,89000,2017,0,0,0
427,100,29,19850,135500,2019,0,0,0
428,210,34,13000,135000,2019,0,0,0
429,160,16,88000,134800,2017,0,0,0
430,114,23,49000,121000,2018,0,0,0
431,121,13,32000,129000,2019,0,0,0
432,78,3,100000,79000,2016,0,0,0
433,92,33,36000,141000,2020,0,0,0
434,177,21,149000,114900,2013,0,0,0
435,160,22,37000,175000,2020,0,0,0
438,78,19,65000,120000,2017,0,0,0
439,121,13,32000,130000,2021,0,0,0
440,159,20,127000,107000,2019,0,0,0
441,121,13,85000,96000,2017,0,0,0
442,80,24,90000,125000,2015,0,0,0
444,4,23,25000,124000,2017,0,0,0
445,242,3,169000,34500,2011,0,0,0
447,136,13,44000,113000,2020,0,0,0
448,115,13,114000,45000,2014,0,0,0
449,121,3,80000,70000,2015,0,0,0
450,129,13,13000,186000,2021,0,0,0
451,130,13,200000,46000,2014,0,0,0
452,194,3,86000,97000,2018,0,0,0
453,121,13,83000,101000,2017,0,0,0
454,160,16,135000,120000,2017,0,0,0
455,129,13,85000,102000,2017,0,0,0
456,41,26,225000,15000,2007,0,0,0
457,210,15,85000,69000,2015,0,0,0
458,135,19,119000,50000,2009,0,0,0
459,234,11,270000,35000,2006,0,0,0
460,226,13,70000,117000,2018,0,0,0
461,130,12,22000,100000,2019,0,0,0
462,122,23,154000,29900,2008,0,0,0
